path,word,token,phrase,upload_date
content/asl_app_data/dictionary/SG ASL Best Friend (Alt) 2024-4-4.mkv,best friend (alt),BEST FRIEND (ALT),Best Friend (Alt),2024-04-04
content/asl_app_data/dictionary/SG ASL Best (Variant) 2 2024-4-3 CC.mp4,best (variant) 2,BEST (VARIANT) 2,Best (Variant) 2,2024-04-03
content/asl_app_data/dictionary/SG ASL Best (Other) 1 2024-4-3.mkv,best (other) 1,BEST (OTHER) 1,Best (Other) 1,2024-04-03
content/asl_app_data/dictionary/SG ASL Best 2 2024-4-3 GIF.gif,best 2,BEST 2,Best 2,2024-04-03
content/asl_app_data/dictionary/SG ASL Best (Alt) 2 2024-4-2.mkv,best (alt) 2,BEST (ALT) 2,Best (Alt) 2,2024-04-02
"content/asl_app_data/dictionary/SG ASL Before (Past, Alt) 2024-3-9 GIF.gif","before (past, alt)","BEFORE (PAST, ALT)","Before (Past, Alt)",2024-03-09
content/asl_app_data/dictionary/SG ASL Before 2024-3-9 GIF.gif,before,BEFORE,Before,2024-03-09
"content/asl_app_data/dictionary/SG ASL Before (Past, Alt) 1 2024-3-9 CC.mp4","before (past, alt) 1","BEFORE (PAST, ALT) 1","Before (Past, Alt) 1",2024-03-09
content/asl_app_data/dictionary/SG ASL Before (Past) 2024-3-7 CC.mp4,before (past),BEFORE (PAST),Before (Past),2024-03-07
content/asl_app_data/dictionary/SG ASL Before (Earlier) 1 2024-3-7 GIF.gif,before (earlier) 1,BEFORE (EARLIER) 1,Before (Earlier) 1,2024-03-07
content/asl_app_data/dictionary/SG ASL Before (Location) 1 2024-3-7 CC.mp4,before (location) 1,BEFORE (LOCATION) 1,Before (Location) 1,2024-03-07
content/asl_app_data/dictionary/SG ASL Before (Alt) 2024-3-6.mkv,before (alt),BEFORE (ALT),Before (Alt),2024-03-06
content/asl_app_data/dictionary/SG ASL Because 2 2024-2-25 CC.mp4,because 2,BECAUSE 2,Because 2,2024-02-25
content/asl_app_data/dictionary/SG ASL Because (Alt) 2 2024-2-25 GIF.gif,because (alt) 2,BECAUSE (ALT) 2,Because (Alt) 2,2024-02-25
content/asl_app_data/dictionary/SG ASL Basic 2 2024-1-24.mkv,basic 2,BASIC 2,Basic 2,2024-01-24
content/asl_app_data/dictionary/SG ASL Bad 2023-12-14 CC.mp4,bad,BAD,Bad,2023-12-14
content/asl_app_data/dictionary/SG ASL Bad Mannered 3 2023-12-12 CC.mp4,bad mannered 3,BAD MANNERED 3,Bad Mannered 3,2023-12-12
content/asl_app_data/dictionary/SG ASL Bad Breath (Alt) 2023-12-12.mkv,bad breath (alt),BAD BREATH (ALT),Bad Breath (Alt),2023-12-12
content/asl_app_data/dictionary/SG ASL Bad Repuation (Alt) 1 2023-12-12 GIF.gif,bad repuation (alt) 1,BAD REPUATION (ALT) 1,Bad Repuation (Alt) 1,2023-12-12
content/asl_app_data/dictionary/SG ASL Bad repuation 2 2023-12-12 GIF.gif,bad repuation 2,BAD REPUATION 2,Bad repuation 2,2023-12-12
content/asl_app_data/dictionary/SG ASL Bad Action 2 2023-12-11 CC.mp4,bad action 2,BAD ACTION 2,Bad Action 2,2023-12-11
content/asl_app_data/dictionary/SG ASL Bad (Alt) 2023-12-11.mkv,bad (alt),BAD (ALT),Bad (Alt),2023-12-11
content/asl_app_data/dictionary/SG ASL Attitude 2023-10-20 GIF.gif,attitude,ATTITUDE,Attitude,2023-10-20
content/asl_app_data/dictionary/SG ASL Attitude (Alt) 2023-10-20 GIF.gif,attitude (alt),ATTITUDE (ALT),Attitude (Alt),2023-10-20
content/asl_app_data/dictionary/SG ASL ASL 2023-9-7 CC.mp4,asl,ASL,ASL,2023-09-07
content/asl_app_data/dictionary/SG ASL ASL Zone 2023-9-6.mkv,asl zone,ASL ZONE,ASL Zone,2023-09-06
content/asl_app_data/dictionary/SG ASL ASL Alt 1 2023-9-5 CC.mp4,asl alt 1,ASL ALT 1,ASL Alt 1,2023-09-05
content/asl_app_data/dictionary/SG ASL ASL Writing 2023-9-5.mkv,asl writing,ASL WRITING,ASL Writing,2023-09-05
content/asl_app_data/dictionary/SG ASL Ask you 2023-9-4 CC.mp4,ask you,ASK YOU,Ask you,2023-09-04
content/asl_app_data/dictionary/SG ASL Ask Request 1 2023-9-3.mkv,ask request 1,ASK REQUEST 1,Ask Request 1,2023-09-03
content/asl_app_data/dictionary/SG ASL Ask you (Variant) 2 2023-9-3.mkv,ask you (variant) 2,ASK YOU (VARIANT) 2,Ask you (Variant) 2,2023-09-03
content/asl_app_data/dictionary/SG ASL Ask Out 3 2023-9-3 CC.mp4,ask out 3,ASK OUT 3,Ask Out 3,2023-09-03
content/asl_app_data/dictionary/SG ASL Ask for it 1 2023-9-2.mkv,ask for it 1,ASK FOR IT 1,Ask for it 1,2023-09-02
content/asl_app_data/dictionary/SG ASL Ask Away 1 2023-9-2.mkv,ask away 1,ASK AWAY 1,Ask Away 1,2023-09-02
content/asl_app_data/dictionary/SG ASL Ask 1 2023-9-1 CC.mp4,ask 1,ASK 1,Ask 1,2023-09-01
content/asl_app_data/dictionary/SG ASL Ask (Peer) 2023-9-1 CC.mp4,ask (peer),ASK (PEER),Ask (Peer),2023-09-01
content/asl_app_data/dictionary/SG ASL Ask Around 1 2023-9-1.mkv,ask around 1,ASK AROUND 1,Ask Around 1,2023-09-01
content/asl_app_data/dictionary/SG ASL Arrive 2023-8-19.mkv,arrive,ARRIVE,Arrive,2023-08-19
content/asl_app_data/dictionary/SG ASL Arrive (Alt) 2023-8-18.mkv,arrive (alt),ARRIVE (ALT),Arrive (Alt),2023-08-18
content/asl_app_data/dictionary/SG ASL Approach 2023-8-2 CC.mp4,approach,APPROACH,Approach,2023-08-02
content/asl_app_data/dictionary/SG ASL Approach (Alt) 1 2023-8-1 CC.mp4,approach (alt) 1,APPROACH (ALT) 1,Approach (Alt) 1,2023-08-01
content/asl_app_data/dictionary/SG ASL Approach (Location) (Alt) 2023-8-1.mkv,approach (location) (alt),APPROACH (LOCATION) (ALT),Approach (Location) (Alt),2023-08-01
content/asl_app_data/dictionary/SG ASL Anything OneHanded 1 2023-7-19.mkv,anything onehanded 1,ANYTHING ONEHANDED 1,Anything OneHanded 1,2023-07-19
content/asl_app_data/dictionary/SG ASL Anything (Alt) 2023-7-19.mkv,anything (alt),ANYTHING (ALT),Anything (Alt),2023-07-19
content/asl_app_data/dictionary/SG ASL Anything 1 2023-7-19 CC.mp4,anything 1,ANYTHING 1,Anything 1,2023-07-19
content/asl_app_data/dictionary/SG ASL Any 1 2023-7-16.mkv,any 1,ANY 1,Any 1,2023-07-16
content/asl_app_data/dictionary/SG ASL Answer One Handed 2023-7-6.mkv,answer one handed,ANSWER ONE HANDED,Answer One Handed,2023-07-06
content/asl_app_data/dictionary/SG ASL Answer 1 2023-7-6 CC.mp4,answer 1,ANSWER 1,Answer 1,2023-07-06
content/asl_app_data/dictionary/SG ASL Animal 1 2023-7-2 CC.gif,animal 1,ANIMAL 1,Animal 1,2023-07-02
content/asl_app_data/dictionary/SG ASL And 1 2023-6-29 CC.gif,and 1,AND 1,And 1,2023-06-29
content/asl_app_data/dictionary/SG ASL Valentine's Day 2025-2-14 GIF.gif,,VALENTINE'S DAY,,
content/asl_app_data/dictionary/SG ASL Valentine's Day 2025-2-14.mkv,,VALENTINE'S DAY,,
content/asl_app_data/dictionary/SG ASL Valentine's Day 2025-2-14 CC.mp4,,VALENTINE'S DAY,,
content/asl_app_data/dictionary/SG ASL Future Near 2025-7-23 Captions.webm,,FUTURE NEAR,,
content/asl_app_data/dictionary/SG ASL Future Var 2025-7-23 Captions.webm,,FUTURE VAR,,
content/asl_app_data/dictionary/SG ASL Equal Status 2025-7-23 Captions.webm,,EQUAL STATUS,,
content/asl_app_data/dictionary/SG ASL Delve Alt 2024-4-9.mkv,,DELVE ALT,,
content/asl_app_data/dictionary/SG ASL Delve Alt 2024-4-9 GIF.gif,,DELVE ALT,,
content/asl_app_data/dictionary/SG ASL Delve Alt 2024-4-9 CC.mp4,,DELVE ALT,,
content/asl_app_data/dictionary/SG ASL Arrow 1 2023-8-22.mkv,,ARROW 1,,
content/asl_app_data/dictionary/SG ASL Arrow 1 2023-8-22 CC.mp4,,ARROW 1,,
content/asl_app_data/dictionary/SG ASL Alert (Multiple people) 2 2023-5-17.mkv,,ALERT (MULTIPLE PEOPLE) 2,,
content/asl_app_data/dictionary/SG ASL Alert (Multiple people) 2 2023-5-17 CC.gif,,ALERT (MULTIPLE PEOPLE) 2,,
content/asl_app_data/dictionary/SG ASL Asexual 1 2023-8-29 CC.mp4,,ASEXUAL 1,,
content/asl_app_data/dictionary/SG ASL Asexual 1 2023-8-29.mkv,,ASEXUAL 1,,
content/asl_app_data/dictionary/SG ASL Anthem (Alt) 1 2023-7-7.mkv,,ANTHEM (ALT) 1,,
content/asl_app_data/dictionary/SG ASL Anthem (Alt) 1 2023-7-7 CC.mp4,,ANTHEM (ALT) 1,,
content/asl_app_data/dictionary/SG ASL Antidote 1 2023-7-9.mkv,,ANTIDOTE 1,,
content/asl_app_data/dictionary/SG ASL Antidote 1 2023-7-9 CC.mp4,,ANTIDOTE 1,,
content/asl_app_data/dictionary/SG ASL Awful (Alt) 2023-11-16 GIF.gif,,AWFUL (ALT),,
content/asl_app_data/dictionary/SG ASL Awful (Alt) 2023-11-16 CC.mp4,,AWFUL (ALT),,
content/asl_app_data/dictionary/SG ASL Awful (Alt) 2023-11-16.mkv,,AWFUL (ALT),,
content/asl_app_data/dictionary/SG ASL Army Tank 2023-8-14.mkv,,ARMY TANK,,
content/asl_app_data/dictionary/SG ASL Army Tank 2023-8-14 CC.mp4,,ARMY TANK,,
content/asl_app_data/dictionary/SG ASL Automatic (Alt) 2 2023-11-12.mkv,,AUTOMATIC (ALT) 2,,
